trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.5, 'e': 0.6258131673339598}",20,0,-112.53454468900776,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.6239357278319578}",25,0,-115.62298111463843,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.6220639206484619}",30,0,-189.41084085914133,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
160,False,"{'a': 0.5, 'e': 0.6201977288865166}",30,18,-39.171389081843095,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.618337135699857}",30,18,-34.648119883762725,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.6164821242927574}",25,0,-116.04353096264524,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
163,False,"{'a': 0.5, 'e': 0.6146326779198792}",30,0,-79.4907552984673,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.6127887798861196}",20,6,8.744844198293643,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.6109504135464612}",20,7,-8.530481691634312,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.6091175623058218}",20,16,7.849024733287094,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.6072902096189043}",20,0,-88.73647382042961,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.6054683389900476}",30,14,-25.97305524157299,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.6036519339730775}",20,0,-9.882278041414182,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.6018409781711582}",20,10,1.8864685914010348,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.6000354552366447}",30,0,-120.1307420050531,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
172,False,"{'a': 0.5, 'e': 0.5982353488709348}",30,15,-25.5435364812376,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.596440642824322}",20,0,-110.17877924434231,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
174,False,"{'a': 0.5, 'e': 0.594651320895849}",25,12,-34.40950767135358,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.5928673669331614}",20,10,7.780040681923354,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.5910887648323621}",35,0,-104.60897408840677,"{0: 26, 1: 2, 2: 5, 3: 0, 4: 2}",0
177,False,"{'a': 0.5, 'e': 0.5893154985378649}",25,0,-67.84016492585104,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.5875475520422513}",20,1,-64.53391740423731,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.5857849093861246}",35,0,-101.5681994001935,"{0: 22, 1: 6, 2: 6, 3: 0, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.5840275546579662}",25,0,-43.545745809999815,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.5822754719939923}",30,3,-80.18366422646547,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 1}",1
182,False,"{'a': 0.5, 'e': 0.5805286455780103}",25,0,-60.59828580651846,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
